,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.
LR.LIME,0,1,1,1.084375,2,3
RF.LIME,0,1,1,1.315625,2,3
C5.0.LIME,0,0,1,0.652866242,1,3
avNNet.LIME,0,0,0,0.45971564,1,2
GBM.LIME,0,1,1,1.0375,1,3
xgbTree.LIME,0,1,1,1.262626263,2,3
LR.LIME-HPO,0,1,1,1.20625,2,3
RF.LIME-HPO,0,1,1,1.378125,2,3
C5.0.LIME-HPO,0,0,1,0.840764331,1,3
avNNet.LIME-HPO,0,0,0,0.559241706,1,3
GBM.LIME-HPO,0,1,1,1.0875,2,3
xgbTree.LIME-HPO,0,1,1,1.343434343,2,3
LR.BreakDown,0,1,2,1.575,2,3
RF.BreakDown,0,1,1,1.496875,2,3
C5.0.BreakDown,0,0,0,0.433121019,1,3
avNNet.BreakDown,0,0,0,0.492890995,1,3
GBM.BreakDown,0,1,2,1.875,2,3
xgbTree.BreakDown,0,1,2,1.898989899,3,3
