,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.
LR.LIME,0,4,6,7.340533672,10,24
RF.LIME,0,4,7,7.646759848,11,24
C5.0.LIME,0,4,7,7.612452351,10.5,24
avNNet.LIME,0,4,7,7.847715736,11,22
GBM.LIME,0,5,9,9.792620865,14,25
xgbTree.LIME,0,4,8,8.040816327,11,23
LR.LIME-HPO,0,10,14,13.51715375,17,26
RF.LIME-HPO,0,10,14,13.5610687,18,26
C5.0.LIME-HPO,0,10,14,13.55654384,17,27
avNNet.LIME-HPO,0,10,14,13.61928934,18,27
GBM.LIME-HPO,0,12,16,15.32569975,19,27
xgbTree.LIME-HPO,0,11,15,14.14421769,18,27
LR.BreakDown,0,0,0,0,0,0
RF.BreakDown,0,0,0,0,0,0
C5.0.BreakDown,0,0,0,0,0,0
avNNet.BreakDown,0,0,0,0,0,0
GBM.BreakDown,0,0,0,0,0,0
xgbTree.BreakDown,0,0,0,0,0,0
